category,Value11,value21
carPassenger,1630,1314
bicycle,494,357
foot,3387,2974
other,198,585
noWork,22083,55061
home,5494,12973
metro,57,31
train,2590,756
bus,1200,612
taxi,151,181
motorcycle,276,123
carDriver,27146,23176
carPassenger,2113,1536
bicycle,612,376
foot,5774,4501
other,205,349
noWork,21771,46319
home,11229,45193
metro,16915,9362
train,5439,3714
bus,15283,13357
taxi,422,670
motorcycle,1035,772
carDriver,65349,55421
carPassenger,3949,3711
bicycle,1892,1627
foot,8300,7226
other,477,1752
noWork,69636,163104
home,5814,16666
metro,35,28
train,402,168
bus,1578,702
taxi,100,113
motorcycle,416,189
carDriver,37230,31401
carPassenger,2788,1948
bicycle,1212,824
foot,4022,3419
other,177,429
noWork,23942,57754
home,9683,29417
metro,96,54
train,4512,1235
bus,1142,624
taxi,65,100
motorcycle,396,261
carDriver,40626,32645
carPassenger,2748,2053
bicycle,1083,702
foot,5704,4474
other,244,604
noWork,28019,74611
home,11139,45047
metro,19249,10046
train,10139,5086
bus,20424,18538
taxi,307,635
motorcycle,1388,1199
carDriver,48012,40771
carPassenger,2982,3043
bicycle,4050,4056
foot,8783,8614
other,559,1767
noWork,63125,149381
home,10153,31900
metro,113,51
train,3169,1005
bus,2191,1118
taxi,252,314
motorcycle,568,351
carDriver,57545,44173
carPassenger,4400,3138
bicycle,3164,2354
foot,7149,6281
other,287,707
noWork,36355,89441
home,2860,6309
metro,9,8
train,325,223
bus,2247,960
taxi,360,993
motorcycle,239,148
carDriver,23076,21212
carPassenger,2576,2150
bicycle,398,267
foot,3751,2976
other,152,381
noWork,22363,46607
home,4674,16664
metro,57,34
train,1538,559
bus,4974,2478
taxi,224,461
motorcycle,713,451
carDriver,35092,32133
carPassenger,4455,3843
bicycle,3009,2141
foot,10488,7573
other,255,691
noWork,31688,72616
home,4026,6573
metro,20,6
train,199,119
bus,795,463
taxi,100,92
motorcycle,217,115
carDriver,20136,17915
carPassenger,1779,1354
bicycle,453,279
foot,2465,2005
other,241,281
noWork,20387,39676
home,7280,12922
metro,103,39
train,775,252
bus,2529,2291
taxi,122,83
motorcycle,989,621
carDriver,32299,29704
carPassenger,2737,2100
bicycle,1771,1275
foot,9463,7404
other,1231,1219
noWork,40448,82549
home,428,322
metro,0,0
train,1,1
bus,8,7
taxi,1,1
motorcycle,34,9
carDriver,246,282
carPassenger,25,19
bicycle,186,127
foot,341,309
other,41,38
noWork,311,940
home,10122,322
metro,31009,0
train,5934,1
bus,21595,7
taxi,769,1
motorcycle,1161,9
carDriver,9145,282
carPassenger,690,19
bicycle,9763,127
foot,16059,309
other,518,38
noWork,58384,940
home,13510,64530
metro,28615,11099
train,2448,3063
bus,9725,9346
taxi,1555,689
motorcycle,1598,620
carDriver,9546,7871
carPassenger,779,552
bicycle,3701,6133
foot,9148,9922
other,762,1146
noWork,44693,101619
home,4541,40010
metro,30,6659
train,803,1164
bus,1267,4057
taxi,92,1003
motorcycle,283,568
carDriver,31112,5331
carPassenger,2910,487
bicycle,846,2377
foot,4885,6820
other,149,962
noWork,21002,73935
home,7965,14162
metro,112,49
train,976,569
bus,1483,804
taxi,148,171
motorcycle,480,341
carDriver,43255,41529
carPassenger,4004,3353
bicycle,3155,2455
foot,5356,5082
other,334,707
noWork,39323,85102
home,5676,15534
metro,51,41
train,642,414
bus,14317,8903
taxi,1111,1497
motorcycle,1313,969
carDriver,56712,61237
carPassenger,8631,9104
bicycle,8944,8169
foot,12705,10676
other,801,1245
noWork,79707,149222
home,8942,39251
metro,2814,1457
train,18195,4946
bus,8347,5519
taxi,217,228
motorcycle,1121,705
carDriver,29312,21101
carPassenger,1708,1396
bicycle,3278,2379
foot,7697,6364
other,326,802
noWork,37716,83915
home,17716,49908
metro,151,101
train,5281,2095
bus,14890,6960
taxi,1672,3403
motorcycle,1256,604
carDriver,118836,101008
carPassenger,12264,9250
bicycle,1791,1378
foot,17802,13453
other,738,1923
noWork,114797,243131
home,3531,14880
metro,162,51
train,3448,1758
bus,6806,4655
taxi,1195,1340
motorcycle,275,168
carDriver,34717,35442
carPassenger,4682,4322
bicycle,962,1188
foot,5569,4880
other,344,811
noWork,44464,85027
home,13862,91770
metro,49274,18743
train,23064,8531
bus,31873,21125
taxi,384,809
motorcycle,2279,1464
carDriver,19068,16994
carPassenger,1118,1013
bicycle,12930,9711
foot,11898,10713
other,744,1945
noWork,71236,134835
home,6644,15430
metro,53,39
train,1252,458
bus,3707,2094
taxi,341,304
motorcycle,533,309
carDriver,34942,31607
carPassenger,3810,3061
bicycle,2497,1692
foot,8706,6769
other,347,638
noWork,40464,80533
home,29647,126585
metro,454,249
train,11440,3950
bus,49589,27152
taxi,3047,5362
motorcycle,1740,913
carDriver,190643,156227
carPassenger,21056,15050
bicycle,6237,5190
foot,40140,29819
other,1232,3567
noWork,205624,437891
home,9392,29530
metro,227,145
train,1550,755
bus,18203,10782
taxi,714,2876
motorcycle,676,469
carDriver,67886,67246
carPassenger,10824,13734
bicycle,4980,5470
foot,22303,21589
other,739,2338
noWork,104738,213637
home,6310,15713
metro,69,37
train,3426,1028
bus,3514,2038
taxi,148,99
motorcycle,337,235
carDriver,24438,19656
carPassenger,1816,1322
bicycle,781,603
foot,4510,3350
other,183,426
noWork,23737,55398
home,11413,69977
metro,19391,10775
train,37398,14407
bus,22372,17148
taxi,371,628
motorcycle,1359,1011
carDriver,27910,24709
carPassenger,1729,1529
bicycle,5164,5569
foot,8227,8146
other,723,1813
noWork,70198,144841
home,6145,15959
metro,41,28
train,1683,514
bus,1014,492
taxi,94,129
motorcycle,237,158
carDriver,33212,27712
carPassenger,2450,1822
bicycle,627,515
foot,3333,2730
other,180,413
noWork,25741,55963
home,3088,9451
metro,38,13
train,341,210
bus,2402,1727
taxi,259,459
motorcycle,484,249
carDriver,23405,21936
carPassenger,3302,3203
bicycle,2640,2053
foot,8441,6877
other,199,541
noWork,26978,57095
home,12180,53721
metro,1081,538
train,9707,5138
bus,38027,22387
taxi,2574,3607
motorcycle,780,592
carDriver,91570,81901
carPassenger,11587,10160
bicycle,3970,4862
foot,23991,20234
other,1163,2609
noWork,160246,280338
home,6171,21199
metro,285,334
train,5126,2509
bus,6517,6718
taxi,1029,1816
motorcycle,432,264
carDriver,49150,47641
carPassenger,7475,6719
bicycle,1149,1103
foot,11261,8955
other,606,1463
noWork,56007,126541
home,9110,26842
metro,113,108
train,5073,2239
bus,2881,1583
taxi,193,259
motorcycle,533,308
carDriver,47188,43325
carPassenger,3719,3414
bicycle,914,800
foot,8093,6631
other,273,897
noWork,35141,89373
home,4092,9789
metro,64,55
train,2274,638
bus,465,244
taxi,70,57
motorcycle,186,111
carDriver,19136,16866
carPassenger,1256,998
bicycle,548,292
foot,2072,1898
other,129,309
noWork,15114,34952
home,6260,12483
metro,34,15
train,663,276
bus,471,171
taxi,55,38
motorcycle,261,149
carDriver,21865,18650
carPassenger,1535,1103
bicycle,598,426
foot,2473,2184
other,146,307
noWork,19151,43686
home,15288,73964
metro,2841,6152
train,5663,2848
bus,46652,23669
taxi,1810,3654
motorcycle,841,462
carDriver,91871,82379
carPassenger,9828,8217
bicycle,8426,7305
foot,29347,22647
other,1138,2986
noWork,169227,317655
home,3613,8757
metro,59,30
train,394,203
bus,2821,1827
taxi,274,607
motorcycle,351,236
carDriver,32005,31438
carPassenger,3711,3841
bicycle,668,594
foot,4284,3332
other,181,504
noWork,28794,59115
home,9922,34466
metro,266,313
train,10970,5339
bus,5819,3090
taxi,418,815
motorcycle,1379,807
carDriver,76721,69504
carPassenger,7615,6301
bicycle,1419,942
foot,11643,9519
other,517,1510
noWork,67469,147167
home,3489,7261
metro,17,5
train,372,120
bus,638,203
taxi,39,45
motorcycle,178,93
carDriver,16576,13863
carPassenger,1331,912
bicycle,570,420
foot,2878,2349
other,96,194
noWork,10771,26287
home,8580,17105
metro,77,30
train,429,125
bus,979,530
taxi,109,110
motorcycle,398,229
carDriver,32939,28823
carPassenger,2582,1918
bicycle,1166,769
foot,6365,5489
other,221,542
noWork,24808,60418
home,1680,4666
metro,24,11
train,460,278
bus,1724,744
taxi,209,327
motorcycle,77,46
carDriver,15788,15547
carPassenger,2620,2040
bicycle,80,81
foot,2333,1682
other,104,215
noWork,18278,33204
home,9455,48419
metro,24664,12159
train,18898,5293
bus,10898,9251
taxi,253,385
motorcycle,1333,1152
carDriver,26977,22618
carPassenger,1644,1630
bicycle,3409,3237
foot,6845,6683
other,446,1238
noWork,44776,103124
home,6773,11963
metro,39,10
train,323,139
bus,1102,579
taxi,47,64
motorcycle,360,194
carDriver,23069,21306
carPassenger,1922,1558
bicycle,694,476
foot,3994,3605
other,185,388
noWork,17339,42570
home,7274,15527
metro,58,28
train,1348,445
bus,708,171
taxi,67,65
motorcycle,376,216
carDriver,31906,28416
carPassenger,2027,1464
bicycle,1322,757
foot,3302,2495
other,182,442
noWork,21503,52675
home,9459,31314
metro,106,70
train,9190,2549
bus,1073,623
taxi,251,188
motorcycle,453,281
carDriver,40567,32221
carPassenger,2802,2164
bicycle,968,627
foot,7086,5959
other,274,576
noWork,28023,75994
home,3337,9478
metro,44,28
train,698,469
bus,4868,2264
taxi,902,2050
motorcycle,195,99
carDriver,31155,30745
carPassenger,4639,4060
bicycle,1375,1121
foot,6769,5129
other,565,993
noWork,46004,87490
home,12488,52198
metro,226,228
train,5301,1915
bus,7033,4533
taxi,1485,2856
motorcycle,647,448
carDriver,79279,62713
carPassenger,8058,6985
bicycle,3599,2809
foot,9117,7288
other,550,1406
noWork,53602,143682
home,6784,19379
metro,142,71
train,5282,1252
bus,595,292
taxi,87,101
motorcycle,352,218
carDriver,23330,16658
carPassenger,1429,1052
bicycle,770,450
foot,3471,2480
other,180,389
noWork,18356,45044
home,6619,14708
metro,61,30
train,857,238
bus,563,202
taxi,88,99
motorcycle,341,141
carDriver,27602,22432
carPassenger,2221,1349
bicycle,483,333
foot,3792,2964
other,190,336
noWork,23290,50127
home,4081,12464
metro,35,20
train,973,445
bus,1948,976
taxi,254,274
motorcycle,455,250
carDriver,41127,37320
carPassenger,4529,3079
bicycle,755,548
foot,4539,3294
other,284,517
noWork,44006,83100
home,11249,23960
metro,127,28
train,1776,448
bus,1615,709
taxi,149,140
motorcycle,766,405
carDriver,54271,42845
carPassenger,3690,2761
bicycle,3074,1794
foot,5693,4767
other,583,845
noWork,41805,97083
home,6943,14786
metro,71,33
train,810,287
bus,1380,570
taxi,79,161
motorcycle,376,207
carDriver,34537,31794
carPassenger,2944,2547
bicycle,2103,1687
foot,5099,4522
other,213,520
noWork,29590,65842
home,8430,37529
metro,6304,2337
train,1381,794
bus,21728,11887
taxi,1037,1634
motorcycle,345,235
carDriver,54165,48488
carPassenger,6706,5485
bicycle,3223,2883
foot,15302,12324
other,714,1481
noWork,93529,175047
home,4982,13009
metro,38,12
train,465,219
bus,2618,1043
taxi,509,1099
motorcycle,391,256
carDriver,38686,32923
carPassenger,4195,3364
bicycle,668,606
foot,4646,3748
other,168,404
noWork,34969,66617
home,8945,47737
metro,51117,38371
train,15884,14011
bus,16779,14821
taxi,310,802
motorcycle,753,1063
carDriver,25391,28349
carPassenger,1991,2373
bicycle,2163,3757
foot,8554,9818
other,567,2344
noWork,96504,187591
home,4728,20385
metro,58,22
train,1312,716
bus,5009,2004
taxi,419,1093
motorcycle,430,250
carDriver,40943,37870
carPassenger,4643,4040
bicycle,921,969
foot,5652,4784
other,293,656
noWork,40733,86803
home,7582,10957
metro,34,16
train,174,71
bus,1496,977
taxi,123,119
motorcycle,424,268
carDriver,23654,23589
carPassenger,2199,1807
bicycle,1524,1098
foot,7303,5834
other,241,427
noWork,22753,53448
home,5280,11576
metro,63,37
train,397,147
bus,360,1183
taxi,55,196
motorcycle,234,201
carDriver,20463,28298
carPassenger,1460,2008
bicycle,664,297
foot,4289,2244
other,167,377
noWork,15708,55438
home,4680,9605
metro,306,19
train,459,157
bus,2683,2272
taxi,112,567
motorcycle,335,359
carDriver,32339,41180
carPassenger,2748,4040
bicycle,326,3423
foot,2709,6360
other,161,868
noWork,26602,88114
home,4574,28689
metro,51,113
train,312,2442
bus,4251,457
taxi,523,159
motorcycle,645,211
carDriver,43237,27107
carPassenger,4972,2061
bicycle,3817,875
foot,7841,4567
other,553,476
noWork,45047,66049
home,7594,15406
metro,201,26
train,7546,300
bus,1089,517
taxi,142,96
motorcycle,387,267
carDriver,38039,32959
carPassenger,2753,2050
bicycle,1216,1285
foot,5801,3469
other,222,517
noWork,26520,61182
home,5933,13277
metro,50,21
train,638,131
bus,1427,1036
taxi,103,233
motorcycle,464,378
carDriver,34910,47177
carPassenger,2533,4265
bicycle,2008,2307
foot,4084,6617
other,278,781
noWork,26188,93457
home,6841,10106
metro,33,36
train,348,289
bus,1858,367
taxi,193,106
motorcycle,779,268
carDriver,52473,23868
carPassenger,5166,1398
bicycle,2959,808
foot,7041,3865
other,410,545
noWork,44228,61321
home,6822,42162
metro,73,107
train,512,921
bus,833,2469
taxi,129,1739
motorcycle,354,604
carDriver,26496,101925
carPassenger,2059,10782
bicycle,1208,2905
foot,4354,13596
other,343,1645
noWork,29270,180670
home,11734,33466
metro,98,30
train,2234,801
bus,2885,1782
taxi,349,386
motorcycle,954,509
carDriver,62805,51958
carPassenger,5002,3798
bicycle,2646,1951
foot,8460,7185
other,396,833
noWork,47789,114026
home,6997,30738
metro,8523,3041
train,1385,681
bus,8606,4343
taxi,748,791
motorcycle,471,294
carDriver,52543,43934
carPassenger,5951,4121
bicycle,2345,1885
foot,7559,6177
other,898,1260
noWork,51863,111702
home,3393,8411
metro,17,9
train,506,189
bus,887,397
taxi,117,117
motorcycle,243,116
carDriver,21842,18812
carPassenger,1837,1430
bicycle,353,280
foot,1963,1748
other,100,246
noWork,14912,33281
home,4979,14874
metro,18,18
train,202,66
bus,1039,669
taxi,104,165
motorcycle,420,262
carDriver,32714,30052
carPassenger,2423,1952
bicycle,759,595
foot,3449,2922
other,184,385
noWork,22265,52744
home,17894,38430
metro,659,206
train,1852,610
bus,7593,3995
taxi,523,586
motorcycle,682,286
carDriver,90566,76220
carPassenger,9283,5930
bicycle,2074,1463
foot,14632,11346
other,1143,1705
noWork,86323,179790
home,4781,19468
metro,80,58
train,715,321
bus,4959,3096
taxi,288,494
motorcycle,693,570
carDriver,27585,24555
carPassenger,3200,2753
bicycle,5464,4044
foot,14307,9611
other,352,751
noWork,38278,78202
home,8856,32915
metro,2495,2760
train,1315,810
bus,24275,15217
taxi,950,1496
motorcycle,763,553
carDriver,54020,50069
carPassenger,6530,5931
bicycle,4257,3565
foot,19064,13748
other,693,1803
noWork,108854,194765
home,4381,14461
metro,32,20
train,751,372
bus,2633,1472
taxi,200,350
motorcycle,524,253
carDriver,40555,36655
carPassenger,4340,3592
bicycle,1268,1096
foot,5307,4352
other,214,491
noWork,31885,71083
home,2187,7477
metro,43,24
train,273,95
bus,2145,774
taxi,77,145
motorcycle,162,96
carDriver,16953,14012
carPassenger,1534,1042
bicycle,794,493
foot,2142,1584
other,89,244
noWork,14398,31756
home,7349,20903
metro,121,2478
train,1115,466
bus,10269,4566
taxi,971,1876
motorcycle,489,252
carDriver,57766,51845
carPassenger,7097,5769
bicycle,993,753
foot,9622,7975
other,508,1324
noWork,63465,143882
home,7287,28427
metro,157,77
train,1678,523
bus,11122,6493
taxi,246,417
motorcycle,476,375
carDriver,22648,17163
carPassenger,2195,1778
bicycle,11915,7724
foot,11735,9697
other,348,650
noWork,48630,88714
home,9395,12179
metro,41,30
train,214,145
bus,1564,542
taxi,195,200
motorcycle,350,183
carDriver,33210,32274
carPassenger,3323,2326
bicycle,435,333
foot,5106,4001
other,384,553
noWork,33832,70595
home,3370,7461
metro,19,19
train,287,174
bus,2092,1151
taxi,353,911
motorcycle,185,105
carDriver,24451,22486
carPassenger,2868,2282
bicycle,498,335
foot,5019,4296
other,182,403
noWork,25116,56134
home,7158,24747
metro,92,86
train,2080,975
bus,6434,3644
taxi,537,2289
motorcycle,610,421
carDriver,50718,48971
carPassenger,7489,7145
bicycle,4990,3823
foot,7506,7664
other,430,1203
noWork,44274,114705
home,7898,25656
metro,66,44
train,641,371
bus,12991,7672
taxi,743,1201
motorcycle,2256,1582
carDriver,65103,61976
carPassenger,7110,6220
bicycle,3055,2554
foot,16592,12221
other,1011,1520
noWork,74320,143677
home,7092,24315
metro,115,63
train,3401,1894
bus,7070,4968
taxi,983,1291
motorcycle,1106,807
carDriver,47951,40707
carPassenger,5623,4854
bicycle,7008,5128
foot,15568,12424
other,702,1336
noWork,57086,110216
home,13621,18698
metro,54,20
train,364,147
bus,667,297
taxi,115,87
motorcycle,218,154
carDriver,37419,33599
carPassenger,2920,1961
bicycle,843,536
foot,7097,5669
other,335,557
noWork,32416,71443
home,5038,16614
metro,44,31
train,865,598
bus,7148,4224
taxi,345,748
motorcycle,418,235
carDriver,35956,32080
carPassenger,4324,3899
bicycle,1449,1156
foot,8299,6403
other,294,646
noWork,39905,81204
home,6999,34950
metro,213,141
train,7425,2412
bus,8604,6584
taxi,244,318
motorcycle,455,349
carDriver,35774,27914
carPassenger,3477,2905
bicycle,3252,2361
foot,13087,10088
other,322,844
noWork,36956,85358
home,11029,49406
metro,35515,20627
train,11885,8539
bus,8951,8172
taxi,981,850
motorcycle,739,638
carDriver,44111,40221
carPassenger,2813,2978
bicycle,1356,1566
foot,6722,6768
other,590,1862
noWork,74852,168633
home,4034,10019
metro,43,19
train,1175,556
bus,3314,1592
taxi,388,758
motorcycle,255,126
carDriver,36281,33885
carPassenger,3976,3032
bicycle,875,632
foot,5335,4096
other,678,907
noWork,42823,80910
home,3623,9872
metro,26,17
train,724,248
bus,3017,1333
taxi,194,478
motorcycle,226,134
carDriver,28276,24498
carPassenger,2817,2477
bicycle,665,594
foot,3198,2673
other,156,370
noWork,19601,44342
home,8477,31589
metro,338,225
train,10390,2933
bus,2039,1664
taxi,323,382
motorcycle,599,396
carDriver,39264,29864
carPassenger,2534,1940
bicycle,1183,733
foot,5818,4695
other,271,706
noWork,27937,75719
home,6778,22563
metro,61,38
train,4114,1906
bus,3932,2752
taxi,217,246
motorcycle,445,283
carDriver,67154,62494
carPassenger,7995,6183
bicycle,441,402
foot,7836,5742
other,354,781
noWork,72720,134262
home,4070,9005
metro,26,16
train,304,151
bus,593,246
taxi,47,67
motorcycle,160,85
carDriver,19098,17171
carPassenger,1303,938
bicycle,380,258
foot,2635,2200
other,97,249
noWork,12572,31176
home,13870,57322
metro,10108,2897
train,20986,4319
bus,7339,3929
taxi,219,276
motorcycle,1574,649
carDriver,30298,17106
carPassenger,1289,962
bicycle,5849,3888
foot,7202,5386
other,470,832
noWork,38575,97713
home,4910,6700
metro,29,15
train,400,77
bus,522,196
taxi,90,127
motorcycle,128,77
carDriver,15097,13001
carPassenger,1364,906
bicycle,447,307
foot,4215,2936
other,593,337
noWork,10857,25097
home,7076,20151
metro,181,829
train,1804,804
bus,7904,4612
taxi,1493,1936
motorcycle,465,305
carDriver,55947,51996
carPassenger,6383,5249
bicycle,910,809
foot,8172,6731
other,418,1038
noWork,61989,129314
home,4056,14659
metro,111,60
train,6282,1877
bus,1313,565
taxi,152,116
motorcycle,306,166
carDriver,24053,19583
carPassenger,1694,1200
bicycle,498,278
foot,2059,1752
other,138,405
noWork,19763,45003
home,3292,8036
metro,25,18
train,164,68
bus,1872,1026
taxi,130,256
motorcycle,218,119
carDriver,22313,19570
carPassenger,1938,1507
bicycle,236,153
foot,2478,2060
other,142,303
noWork,17267,37757
home,6336,12306
metro,105,31
train,2556,872
bus,544,332
taxi,92,131
motorcycle,274,200
carDriver,21954,19187
carPassenger,1706,1311
bicycle,470,345
foot,3370,2800
other,176,417
noWork,25278,55176
home,8748,24750
metro,450,196
train,1232,481
bus,9759,4959
taxi,619,1084
motorcycle,674,402
carDriver,75360,70478
carPassenger,8132,6792
bicycle,987,893
foot,8542,6618
other,368,1148
noWork,73088,148004
home,5216,17792
metro,34,37
train,1219,441
bus,1125,1109
taxi,160,266
motorcycle,393,189
carDriver,32570,29803
carPassenger,3293,2994
bicycle,1505,1111
foot,4809,3913
other,161,454
noWork,22274,56257
home,4809,16530
metro,183,122
train,3312,1142
bus,740,492
taxi,100,183
motorcycle,423,230
carDriver,24824,18611
carPassenger,1504,1267
bicycle,1162,705
foot,3416,2759
other,178,417
noWork,19142,45622
home,7416,24680
metro,90,123
train,602,170
bus,4690,1574
taxi,82,128
motorcycle,254,123
carDriver,34541,24538
carPassenger,2244,1395
bicycle,1627,1041
foot,3624,2786
other,176,420
noWork,25409,62099
home,4529,15301
metro,69,47
train,3355,1217
bus,1983,1526
taxi,136,155
motorcycle,425,293
carDriver,31467,26669
carPassenger,2619,2514
bicycle,1413,903
foot,4779,3835
other,312,558
noWork,18565,46741
home,3011,6404
metro,29,8
train,303,99
bus,196,70
taxi,20,35
motorcycle,101,59
carDriver,10502,9037
carPassenger,721,516
bicycle,606,368
foot,2478,2004
other,70,184
noWork,9015,22266
home,5114,7609
metro,24,12
train,254,89
bus,407,175
taxi,40,45
motorcycle,171,93
carDriver,14442,13642
carPassenger,1296,843
bicycle,764,543
foot,2834,2630
other,158,281
noWork,12077,28746
home,7987,39039
metro,2205,2028
train,1953,1277
bus,11786,8417
taxi,1154,1839
motorcycle,612,383
carDriver,57767,52459
carPassenger,6601,5037
bicycle,2491,2750
foot,13850,13107
other,498,1269
noWork,66213,142317
home,7840,26347
metro,1607,1401
train,3573,2593
bus,17905,11938
taxi,719,2306
motorcycle,826,523
carDriver,73872,74590
carPassenger,8850,8791
bicycle,1996,1704
foot,10936,9223
other,506,1656
noWork,90878,200760
home,6450,8837
metro,35,23
train,549,266
bus,2090,1299
taxi,222,213
motorcycle,367,264
carDriver,24373,23934
carPassenger,3098,2449
bicycle,1079,904
foot,9706,7736
other,390,624
noWork,31034,62186
home,7155,13532
metro,35,30
train,394,204
bus,772,1483
taxi,98,123
motorcycle,549,374
carDriver,34835,33463
carPassenger,2897,2554
bicycle,2469,1978
foot,5116,4870
other,220,538
noWork,28363,66196
home,10137,34750
metro,512,176
train,8871,3911
bus,8404,4966
taxi,1530,1702
motorcycle,599,419
carDriver,69071,59614
carPassenger,7262,6145
bicycle,3176,2626
foot,11561,8920
other,796,1367
noWork,76278,154635
home,5133,14331
metro,28,8
train,1104,342
bus,1318,596
taxi,62,72
motorcycle,305,190
carDriver,28833,25137
carPassenger,2267,1661
bicycle,1032,764
foot,3060,2687
other,144,338
noWork,18545,45864
home,7654,23775
metro,238,161
train,10847,3063
bus,854,441
taxi,192,140
motorcycle,537,303
carDriver,29400,23224
carPassenger,1956,1522
bicycle,451,289
foot,3638,2959
other,248,506
noWork,26083,64130
home,18553,69654
metro,8186,2698
train,3956,1747
bus,34061,17868
taxi,1147,2850
motorcycle,1348,615
carDriver,128899,109419
carPassenger,13464,10550
bicycle,4267,3530
foot,29288,20612
other,1149,2464
noWork,166686,314514
home,22808,41525
metro,157,35
train,1681,762
bus,2888,1110
taxi,541,731
motorcycle,893,428
carDriver,92220,83469
carPassenger,7598,6421
bicycle,4310,2926
foot,16951,13662
other,701,1353
noWork,73144,171183
home,4977,19976
metro,705,587
train,4529,2323
bus,4907,3147
taxi,432,928
motorcycle,428,330
carDriver,39226,34407
carPassenger,4031,3784
bicycle,1566,1529
foot,6169,5677
other,330,1011
noWork,33158,84799
home,9989,35366
metro,165,69
train,5116,1563
bus,7836,3673
taxi,321,618
motorcycle,484,243
carDriver,62325,47002
carPassenger,4516,3509
bicycle,1341,1000
foot,5516,4128
other,332,768
noWork,50419,118301
home,5211,19392
metro,617,25
train,2643,229
bus,509,1019
taxi,97,181
motorcycle,244,456
carDriver,20402,37421
carPassenger,1247,2809
bicycle,426,2563
foot,1584,8483
other,137,715
noWork,14685,84151
home,10476,36046
metro,118,64
train,2742,685
bus,3395,1604
taxi,113,172
motorcycle,774,430
carDriver,47888,33507
carPassenger,3039,2057
bicycle,6026,3997
foot,4297,3131
other,271,573
noWork,28640,79852
home,5083,14903
metro,34,25
train,367,127
bus,1313,685
taxi,163,312
motorcycle,478,275
carDriver,34283,32062
carPassenger,2447,2064
bicycle,754,485
foot,2798,2555
other,166,411
noWork,21564,53302
home,12787,52349
metro,95,40
train,1621,438
bus,6645,4442
taxi,212,276
motorcycle,1874,968
carDriver,90569,71696
carPassenger,6809,4890
bicycle,5284,3060
foot,10187,8371
other,448,1080
noWork,55937,142812
home,7824,13451
metro,65,28
train,516,137
bus,873,491
taxi,70,59
motorcycle,441,299
carDriver,22988,20416
carPassenger,1682,1183
bicycle,506,412
foot,4632,3601
other,402,510
noWork,20618,48043
home,4954,7959
metro,31,25
train,364,138
bus,621,286
taxi,68,116
motorcycle,242,198
carDriver,27726,28900
carPassenger,2714,2723
bicycle,1711,1484
foot,2899,2997
other,160,410
noWork,22430,49888
home,7971,19428
metro,73,32
train,1223,416
bus,1383,567
taxi,254,216
motorcycle,430,258
carDriver,42163,36422
carPassenger,3602,2605
bicycle,1878,1259
foot,7297,6419
other,258,572
noWork,30787,75210
home,9125,13692
metro,34,18
train,696,291
bus,933,462
taxi,171,173
motorcycle,268,179
carDriver,28423,25555
carPassenger,2558,1772
bicycle,1361,963
foot,7843,6460
other,260,574
noWork,24159,54313
home,7820,21339
metro,75,32
train,755,223
bus,2630,1037
taxi,133,108
motorcycle,635,329
carDriver,40050,37209
carPassenger,2743,2046
bicycle,1852,1322
foot,3299,3404
other,341,699
noWork,29004,74199
home,10398,32709
metro,166,73
train,3293,897
bus,2130,1168
taxi,90,81
motorcycle,545,289
carDriver,41461,31562
carPassenger,2689,2097
bicycle,2492,1637
foot,6573,5393
other,250,568
noWork,26805,72609
home,4691,15731
metro,32,15
train,797,305
bus,2697,1087
taxi,143,200
motorcycle,467,210
carDriver,38169,30627
carPassenger,3165,2245
bicycle,1587,971
foot,3838,2904
other,175,416
noWork,24697,56324
home,10536,20337
metro,111,38
train,451,145
bus,1067,379
taxi,135,143
motorcycle,760,448
carDriver,48980,45716
carPassenger,4160,3288
bicycle,2203,1341
foot,10034,8412
other,334,684
noWork,37019,91740
home,5996,14069
metro,110,54
train,1259,504
bus,1686,622
taxi,99,171
motorcycle,334,170
carDriver,37970,30339
carPassenger,2637,1881
bicycle,552,364
foot,2507,2088
other,178,437
noWork,27390,59773
home,3875,14779
metro,5681,2230
train,1090,585
bus,6194,3360
taxi,303,299
motorcycle,341,212
carDriver,35011,31575
carPassenger,3774,2883
bicycle,1396,1123
foot,5749,4273
other,1208,1189
noWork,44359,85268
home,7767,30282
metro,118,84
train,3122,1430
bus,10250,7835
taxi,475,861
motorcycle,1186,787
carDriver,58619,51655
carPassenger,7383,5945
bicycle,5138,3605
foot,17826,14255
other,724,1493
noWork,67593,130694
home,7434,27823
metro,314,242
train,12445,4523
bus,4254,2601
taxi,377,390
motorcycle,598,378
carDriver,38900,33110
carPassenger,3761,2865
bicycle,2260,1766
foot,10629,8570
other,367,991
noWork,43668,97427
home,12303,80842
metro,29077,14000
train,18534,7054
bus,37956,23288
taxi,594,791
motorcycle,1671,1132
carDriver,17057,14701
carPassenger,1131,882
bicycle,10450,9537
foot,17426,12998
other,1189,1723
noWork,77163,140689
home,4808,18497
metro,625,470
train,3871,1477
bus,2545,1826
taxi,111,144
motorcycle,699,416
carDriver,31434,23540
carPassenger,1787,1335
bicycle,1312,971
foot,2791,2323
other,178,543
noWork,19755,51417
home,9221,38594
metro,632,243
train,13052,2464
bus,1682,732
taxi,167,221
motorcycle,438,189
carDriver,37230,23272
carPassenger,2118,1478
bicycle,1185,764
foot,5422,4371
other,231,543
noWork,28485,75296
home,5347,18973
metro,33,29
train,2355,951
bus,4862,2931
taxi,621,914
motorcycle,491,289
carDriver,51899,47168
carPassenger,5352,4802
